"Date","Post ID","Network","Post Type","Content Type","Profile","Sent by","Link","Post","Linked Content","Impressions","Organic Impressions","Paid Impressions","Reach","Organic Reach","Paid Reach","Potential Reach","Engagement Rate (per Impression)","Engagements","Reactions","Likes","Dislikes","Love Reactions","Haha Reactions","Wow Reactions","Sad Reactions","Angry Reactions","Comments","Shares","Saves","Post Link Clicks","Other Post Clicks","Post Clicks (All)","Other Engagements","Negative Feedback","Subscribers Gained from Video","Annotation Clicks","Card Clicks","Video Views","Organic Video Views","Paid Video Views","Partial Video Views","Organic Partial Video Views","Paid Partial Video Views","Full Video Views","Organic Full Video Views","Paid Full Video Views","Full Video View Rate","Follow Video Views","For You Video Views","Hashtag Video Views","Business Account Video Views","Sound Video Views","Unspecified Video Views","Estimated Minutes Watched","Story Taps Back","Story Taps Forward","Story Exits","Story Replies","Video Added to Playlists","Subscribers Lost from Video","Video Removed from Playlists","Average Video Time Watched (Seconds)","Tags"
"8/8/2022 8:28 pm","mawuYxIUbfk","YouTube","Post","Video","Data Foundations","Loris Marini","https://www.youtube.com/watch?v=mawuYxIUbfk","When you need MASTER DATA MANAGEMENT - #discoveringdata E010 with Scott Taylor 📚 Storytelling for Data Management #business #data #podcast #shorts",,"","","","","","","","","12","11","7","4","","","","","","0","1","","","0","","","","2","0","0","1,424","","","","","","","","","","","","","","","","366","","","","","0","0","0","","episode-10"
"8/18/2022 10:07 pm","ISAavY5EO-A","YouTube","Post","Video","Data Foundations","Loris Marini","https://www.youtube.com/watch?v=ISAavY5EO-A","Talk about OUTCOMES not outputs… #discoveringdata E039 with Bill Schmarzo 👨‍🎓 The Dean of Big Data #business #data #podcast",,"","","","","","","","","36","34","27","7","","","","","","1","1","","","0","","","","2","0","0","1,356","","","","","","","","","","","","","","","","354","","","","","0","0","0","","episode-39"
"8/11/2022 10:10 pm","KRobpj6-HUU","YouTube","Post","Video","Data Foundations","Loris Marini","https://www.youtube.com/watch?v=KRobpj6-HUU","🙋‍♂️ I am guilty too — Speak the Language of the Business #discoveringdata E039 with 👨‍🎓 Bill Schmarzo - @Schmarzo

#business #data #podcast",,"","","","","","","","","29","26","21","5","","","","","","0","3","","","0","","","","3","0","0","1,283","","","","","","","","","","","","","","","","340","","","","","0","0","0","","episode-39"
"9/5/2022 6:05 pm","ElEHup_pvCI","YouTube","Post","Video","Data Foundations","Loris Marini","https://www.youtube.com/watch?v=ElEHup_pvCI","What are we talking about? #discoveringdata E040 with Jessica Talisman 🎧 Keep learning 👉 https://bit.ly/3KgXW2t #taxonomy #ontology #business #data #podcast",,"","","","","","","","","11","11","5","6","","","","","","0","0","","","0","","","","0","0","0","762","","","","","","","","","","","","","","","","275","","","","","0","0","0","","E040 Jessica Talisman, episode-40"
"8/7/2022 7:30 pm","WaRZIkfxZbg","YouTube","Post","Video","Data Foundations","Loris Marini","https://www.youtube.com/watch?v=WaRZIkfxZbg","CURIOSITY makes you RESILIENT #discoveringdata E034 with Stephanie Barnes 🎨 RADICAL Knowledge Management #business #data #podcast #shorts",,"","","","","","","","","10","8","6","2","","","","","","0","2","","","0","","","","0","0","0","737","","","","","","","","","","","","","","","","174","","","","","0","0","0","","episode-34"
"9/4/2022 5:36 pm","r3l5ZhPv2wM","YouTube","Post","Video","Data Foundations","Loris Marini","https://www.youtube.com/watch?v=r3l5ZhPv2wM","How acronyms create SILOS #discoveringdata E040 with Jessica Talisman 🎧 Listen & Keep Learning 👉 https://bit.ly/3KgXW2t #taxonomy #ontology #business #data #podcast",,"","","","","","","","","16","16","14","2","","","","","","0","0","","","0","","","","1","0","0","643","","","","","","","","","","","","","","","","112","","","","","0","0","0","","E040 Jessica Talisman, episode-40"
"8/15/2022 8:29 pm","AvJ8v7SidlU","YouTube","Post","Video","Data Foundations","Loris Marini","https://www.youtube.com/watch?v=AvJ8v7SidlU","Data is a SOCIAL and CULTURAL challenge #discoveringdata E039 with Bill Schmarzo 👨‍🎓 The Dean of Big Data #business #data #podcast",,"","","","","","","","","20","20","16","4","","","","","","0","0","","","0","","","","0","0","0","627","","","","","","","","","","","","","","","","117","","","","","0","0","0","","episode-39"
"8/19/2022 8:49 pm","17955022882887233","Instagram","Reel","Video","discovering_data","Loris Marini","https://www.instagram.com/reel/ChcDUVys_hW/","Should data be “FIT FOR PURPOSE?” #discoveringdata E039 with Bill Schmarzo @schmarzo #business #data #podcast 👉 https://bit.ly/3vWohNk",,"544","544","","542","542","","","0.92%","5","2","2","","","","","","","1","0","2","","","","","","","","","544","544","","","","","","","","","","","","","","","","","","","","","","","","episode-39"
"7/21/2022 3:52 pm","6955761494881964032","LinkedIn","Post","Video","Discovering Data"," ","https://linkedin.com/feed/update/urn:li:ugcPost:6955761494881964032","How do you build a #datacatalog that scales?

Ole Olesen-Bagneux @olesenbagneux, @OBagneux) literally wrote THE book on this:

""The Enterprise Data Catalog"" - O'Railly Media

#book #buisnessstrategy #datamanagement #dataengineering #discoveringdata #podcast",,"1,719","1,719","","","","","","5.41%","93","28","28","","","","","","","9","1","","55","","55","","","","","","510","510","","","","","","","","","","","","","","","","","","","","","","","","episode 038"
"8/12/2022 9:48 pm","CoPCNuV2-1M","YouTube","Post","Video","Data Foundations","Loris Marini","https://www.youtube.com/watch?v=CoPCNuV2-1M","The TOP lesson for me — Bill Schmarzo: speak the Language of the Business #discoveringdata E039 The Dean of Big Data 👨‍🎓

#business #data #podcast",,"","","","","","","","","7","7","4","3","","","","","","0","0","","","0","","","","1","0","0","398","","","","","","","","","","","","","","","","93","","","","","0","0","0","","episode-39"
"8/12/2022 12:41 am","6963504622363623424","LinkedIn","Post","Video","Discovering Data","Loris Marini","https://linkedin.com/feed/update/urn:li:ugcPost:6963504622363623424","The TOP lesson for me — Bill Schmarzo: speak the Language of the Business #discoveringdata E039 with 👨‍🎓 The Dean of Big Data

#business #data #podcast",,"67","67","","","","","","4.48%","3","0","0","","","","","","","0","1","","2","","2","","","","","","358","358","","","","","","","","","","","","","","","","","","","","","","","","episode-39"
"8/19/2022 10:07 pm","MEzo1aYU3oI","YouTube","Post","Video","Data Foundations","Loris Marini","https://www.youtube.com/watch?v=MEzo1aYU3oI","The OTHER side of DESIGN THINKING #discoveringdata E039 with Bill Schmarzo 👨‍🎓 @schmarzo #business #data #podcast",,"","","","","","","","","4","3","2","1","","","","","","0","1","","","0","","","","0","0","0","345","","","","","","","","","","","","","","","","72","","","","","0","0","0","","episode-39"
"10/13/2022 6:07 am","6986039683516440577","LinkedIn","Post","Video","Discovering Data","Loris Marini","https://linkedin.com/feed/update/urn:li:ugcPost:6986039683516440577","Not taken seriously? Do this! #discoveringdata E045 with Ashleigh Faith 🎧 Listen https://bit.ly/3SQOWnZ #datatherapy #datatranslators #business #data #podcast",,"842","842","","","","","","10.93%","92","19","19","","","","","","","6","0","","67","","67","","","","","","311","311","","","","","","","","","","","","","","","","","","","","","","","","E045 - Ashleigh Faith"
"8/18/2022 6:46 pm","18250689580108870","Instagram","Reel","Video","discovering_data","Loris Marini","https://www.instagram.com/reel/ChZQc2fN5vO/","Talk about OUTCOMES not outputs… #discoveringdata E039 with Bill Schmarzo 👨‍🎓 The Dean of Big Data #business #data #podcast",,"299","299","","291","291","","","1%","3","2","2","","","","","","","1","0","0","","","","","","","","","299","299","","","","","","","","","","","","","","","","","","","","","","","","episode-39"
"8/17/2022 9:06 pm","17972580595730596","Instagram","Reel","Video","discovering_data","Loris Marini","https://www.instagram.com/reel/ChW7rSYMo8O/","The value of HEURISTICS #discoveringdata E039 with Bill Schmarzo 👨‍🎓 The Dean of Big Data #business #data #podcast",,"271","271","","255","255","","","1.11%","3","2","2","","","","","","","1","0","0","","","","","","","","","271","271","","","","","","","","","","","","","","","","","","","","","","","","channels-cross-promotion"
"8/25/2022 9:46 pm","JZpU3Jdk2zA","YouTube","Post","Video","Data Foundations"," ","https://www.youtube.com/watch?v=JZpU3Jdk2zA","WHY THIS EPISODE #discoveringdata E040 with Jessica Talisman 🎧 Taxonomies & Ontologies #business #data #podcast",,"","","","","","","","","1","1","1","0","","","","","","0","0","","","0","","","","1","0","0","256","","","","","","","","","","","","","","","","53","","","","","0","0","0","","E040 Jessica Talisman"
"9/6/2022 5:03 pm","QAFyjMrdr_s","YouTube","Post","Video","Data Foundations","Loris Marini","https://www.youtube.com/watch?v=QAFyjMrdr_s","This is why stemming is bad #discoveringdata E040 with Jessica Talisman 🎧 Keep learning 👉 https://bit.ly/3KgXW2t #taxonomy #ontology #business #data #podcast",,"","","","","","","","","6","6","2","4","","","","","","0","0","","","0","","","","0","0","0","244","","","","","","","","","","","","","","","","54","","","","","0","0","0","","Book Proposal, book, book-experiments"
"8/19/2022 12:18 pm","17868373946722515","Instagram","Reel","Video","discovering_data","Loris Marini","https://www.instagram.com/reel/ChbI1t6MEuY/","The OTHER side of DESIGN THINKING #discoveringdata E039 with Bill Schmarzo 👨‍🎓 @schmarzo #business #data #podcast",,"228","228","","225","225","","","1.32%","3","2","2","","","","","","","1","0","0","","","","","","","","","228","228","","","","","","","","","","","","","","","","","","","","","","","","episode-39"
"8/18/2022 8:36 pm","18002395459471213","Instagram","Reel","Video","discovering_data","Loris Marini","https://www.instagram.com/reel/ChZdCOUs0xi/","It’s time for data GENERALISTS #discoveringdata E039 with Bill Schmarzo 👨‍🎓 @schmarzo  #business #data #podcast",,"227","227","","225","225","","","2.2%","5","3","3","","","","","","","1","1","0","","","","","","","","","227","227","","","","","","","","","","","","","","","","","","","","","","","","episode-39"
"8/25/2022 9:51 pm","7135780014678740226","TikTok","Post","Video","discoveringdata"," ","https://www.tiktok.com/@discoveringdata/video/7135780014678740226?utm_campaign=tt4d_open_api&utm_source=7036369194396418050","WHY THIS EPISODE #discoveringdata E040 with Jessica Talisman 🎧 Taxonomies & Ontologies #business #data #podcast",,"","","","209","","","","","0","0","0","","","","","","","0","0","","","","","","","","","","224","","","","","","","","","0.03","0","222","0","1","0","1","","","","","","","","","6.99","E040 Jessica Talisman"
